Event, nTightEle, nTightMu, hasOS, nJets, nBJets, hasZCand
49214081,0.0,0.0,0.0,0.0,0.0,1.0
49214085,0.0,0.0,0.0,0.0,0.0,1.0
49214133,0.0,0.0,0.0,0.0,0.0,1.0
49214191,0.0,0.0,0.0,1.0,-1.0,1.0
49214262,0.0,0.0,0.0,0.0,0.0,1.0
49214249,0.0,0.0,0.0,0.0,0.0,1.0
49214309,0.0,0.0,0.0,2.0,-2.0,1.0
49214412,0.0,0.0,0.0,0.0,0.0,1.0
49214516,0.0,0.0,0.0,1.0,-1.0,1.0
49214550,0.0,0.0,0.0,1.0,-1.0,1.0
49214616,0.0,0.0,0.0,1.0,-1.0,1.0
49214669,0.0,0.0,0.0,0.0,0.0,1.0
49214696,0.0,0.0,0.0,1.0,-1.0,1.0
49214900,0.0,0.0,0.0,0.0,0.0,1.0
49214939,0.0,0.0,0.0,0.0,0.0,1.0
49214951,0.0,0.0,0.0,0.0,0.0,1.0
49214998,0.0,0.0,0.0,0.0,0.0,1.0
49215025,0.0,0.0,0.0,0.0,0.0,1.0
49215019,0.0,0.0,0.0,1.0,-1.0,1.0
49215055,0.0,0.0,0.0,1.0,-1.0,1.0
49215084,0.0,0.0,0.0,0.0,0.0,1.0
49215107,0.0,0.0,0.0,0.0,0.0,1.0
49215114,0.0,0.0,0.0,0.0,0.0,1.0
49215108,0.0,0.0,0.0,0.0,0.0,1.0
49215170,0.0,0.0,0.0,0.0,0.0,1.0
49215211,0.0,0.0,0.0,0.0,0.0,1.0
49215228,0.0,0.0,0.0,2.0,-2.0,1.0
49215296,0.0,0.0,0.0,1.0,-1.0,1.0
49215308,0.0,0.0,0.0,0.0,0.0,1.0
49215341,0.0,0.0,0.0,1.0,-1.0,1.0
49215340,0.0,0.0,0.0,0.0,0.0,1.0
49215396,0.0,0.0,0.0,1.0,-1.0,1.0
49215411,0.0,0.0,0.0,0.0,0.0,1.0
49215404,0.0,0.0,0.0,0.0,0.0,1.0
49215431,0.0,0.0,0.0,0.0,0.0,1.0
49215434,0.0,0.0,0.0,1.0,-1.0,1.0
49215503,0.0,0.0,0.0,0.0,0.0,1.0
49215514,0.0,0.0,0.0,0.0,0.0,1.0
49215572,0.0,0.0,0.0,0.0,0.0,1.0
49215634,0.0,0.0,0.0,0.0,0.0,1.0
49215655,0.0,0.0,0.0,0.0,0.0,1.0
49215645,0.0,0.0,0.0,2.0,-2.0,1.0
49215699,0.0,0.0,0.0,1.0,-1.0,1.0
49215690,0.0,0.0,0.0,0.0,0.0,1.0
49215697,0.0,0.0,0.0,0.0,0.0,1.0
49215716,0.0,0.0,0.0,1.0,-1.0,1.0
49215802,0.0,0.0,0.0,1.0,0.0,0.0
49215851,0.0,0.0,0.0,0.0,0.0,1.0
49215877,0.0,0.0,0.0,0.0,0.0,1.0
49215893,0.0,0.0,0.0,2.0,-2.0,1.0
