Event, nTightEle, nTightMu, hasOS, hasOS_ZCand, hasSS_ZCand, nGenMatchedLeptons, nFlips, nJets, nBJets
327771701,2,0,1,1,0,2,0,0,0
327771754,2,0,1,1,0,2,0,0,0
327771768,2,0,1,1,0,2,0,0,0
327771787,2,0,1,1,0,2,0,0,0
327771837,2,0,1,1,0,2,0,0,0
327771823,2,0,1,1,0,2,0,1,1
327771825,2,0,1,1,0,2,0,0,0
327771857,2,0,1,1,0,2,0,3,0
327771882,2,0,1,1,0,2,0,1,0
327771921,2,0,1,1,0,2,0,0,0
327771958,2,0,1,1,0,2,0,0,0
327772000,2,0,1,1,0,2,0,0,0
327771966,2,0,1,1,0,2,0,0,0
327772030,2,0,1,1,0,2,0,1,1
327772045,2,0,1,1,0,2,0,1,1
327772085,2,0,1,1,0,2,0,1,0
327772093,2,0,1,1,0,2,0,1,0
327772123,2,0,1,1,0,2,0,0,0
327772141,2,0,1,1,0,2,0,0,0
327772211,2,0,1,1,0,2,0,0,0
327772424,2,0,1,1,0,2,0,0,0
327772426,2,0,1,1,0,2,0,0,0
327772484,2,0,1,1,0,2,0,0,0
327772531,2,0,1,1,0,2,0,0,0
327772632,2,0,1,1,0,2,0,0,0
327772626,2,0,1,1,0,2,0,0,0
327772574,2,0,1,1,0,2,0,1,0
327772600,2,0,1,1,0,2,0,3,0
327772634,2,0,1,1,0,2,0,0,0
327772705,2,0,1,1,0,2,0,0,0
327772712,2,0,1,1,0,2,0,1,0
327772868,2,0,1,1,0,2,0,2,0
327772917,2,0,1,1,0,2,0,0,0
327772888,2,0,1,1,0,2,0,0,0
327772976,2,0,1,1,0,2,0,2,0
327773116,2,0,1,1,0,2,0,1,0
327773191,2,0,1,1,0,2,0,0,0
327773207,2,0,1,1,0,2,0,0,0
327773210,2,0,1,1,0,2,0,0,0
327773223,2,0,1,1,0,2,0,2,0
327773351,2,0,1,1,0,2,0,3,0
327773376,2,0,1,1,0,2,0,1,0
327773377,2,0,1,1,0,2,0,0,0
